actorId,name,birthYear
nm1263036,Fatheyya Ahmed,
nm1264612,Amira Amir,1920
nm1278335,Leo Alkemade,1980
nm1287617,Habibollah Kasehsaz,
nm1298369,Detlef Brand,
nm1310530,Nadir Legrand,
nm1318578,Tannishtha Chatterjee,1980
nm1320600,César Bordón,1961
nm13237493,Maram Alzghoul,
nm13321450,Bradley Dunn,1995
nm13344989,Christer Lind,
nm13403827,Nicole Fernandes,
nm13414064,Djordje Brajovic,
nm1345839,Shinobu Chihara,1931
nm13504762,Rahul Patil,
nm1367819,Bahram Radan,1979
nm1386893,Raymond Pozo,1969
nm1403664,Natalya Tetenova,
nm1416640,Roshan Pilapitaya,
nm14214694,Héctor González,
nm1428724,Indrans,1956
nm1431940,Evangeline Lilly,1979
nm1437257,Margarita Reyes,
nm14445936,Kangane Mangesh Rangnath,
nm1450944,Gavin Peretti,1983
nm1456554,Ahmed Lucan,
nm1457647,Aleksandar Lazic,
nm1478916,Stanislav Sevcik,1971
nm1482625,Dave R. Watkins,1978
nm1485941,Madhan Bob,1953
nm14919725,Erfan Mosaferchi,
nm1499401,Lucille Howe,
nm1500638,Sasa Tabakovic,
nm1513736,Sonia Couling,1974
nm1516058,Deepraj Rana,
nm1526673,Phoebe Price,1972
nm1533569,Thomas Blumenthal,
nm1536771,Bill Kelly,
nm15522051,Sinem Bilgi,
nm1553002,Eleanor Drew,1922
nm15979410,Masood Barahimi,
nm1616085,Dana Powell,
nm16393669,Amanda Rún Bergþórsdóttir,
nm16481338,Nick Albert,
nm1650019,Reiko Arai,
nm1651720,Olga Pogodina,1976
nm16557855,Divya Makkar,
nm1662057,Kensaku Haruji,
nm16995387,Ildar Kuyanchiyev,1981
nm1702742,Deep Ng,
nm17163530,Anyelo García,
nm1722598,Dillon Lane,1993
nm1731624,Pierre Deladonchamps,1978
nm1733525,Anwan Glover,
nm1734602,Bülent Alkis,1974
nm17479598,Jeff Brown,
nm1760156,Sallie Harmsen,1989
nm1763797,Emad Rashad,1951
nm1773074,Hiroo Wakabayashi,
nm1773122,Lidia Ariza,
nm1778060,Luc Bernier,
nm1784719,Chôji Oka,
nm1796069,Hiroshi Izumida,
nm1796950,Kazunobu Mineta,
nm1816787,Kyle Williams,
nm1822609,Ippei Torihashi,
nm1839828,Ken Hasebe,
nm1881315,Seema Begum,
nm1891974,Seher Terzi,1966
nm1901120,Emma Debner,
nm1962139,Ryôko Kobayashi,1989
nm2016364,Neal Bledsoe,1981
nm2026324,Ben Hall,
nm2065859,Erika Toda,1988
nm2067953,Ed Westwick,1987
nm2081663,Nico García Hume,1980
nm2090153,Jeremy John Wells,1981
nm2091689,Sunny Tang,
nm2104863,Binta Ayo Mogaji,
nm2140007,Cenk Durmazel,1971
nm2143950,Luca Marinelli,1984
nm2145366,Zhongyang Qi,
nm2151352,Soroor Rajai,
nm2202538,Rambod Javan,
nm2239666,Afshin Sangchap,
nm2265157,Isabelle Fuhrman,1997
nm2283410,Elfriede Schüsseleder,1951
nm2304722,Charlyne Yi,1986
nm2326212,Jaime Lyn Beatty,
nm2369538,Ichitarō Kataoka,1877
nm2380781,Haruko Izumi,1905
nm2383250,Logan Miller,1992
nm2386134,Michele Cesari,
nm2393500,Illyse Singer,
nm2398416,Ryûnosuke Kumoi,1903
nm2471825,Leah Rudick,
nm2506850,Adam Day,
nm2525790,Bel Powley,1992
nm2536215,VTV Ganesh,1961
nm2566876,Javier Calvo,1991
nm2620667,Bresha Webb,1984
nm2626103,Griselda Sanchez,
nm2629217,Matt Nielsen,1983
nm2647965,Sarah Leigh,
nm2662416,Jakujaku Katsura,
nm2715315,Kristina Kopf,1966
nm2749076,Hideko Yamamoto,
nm2755346,Ali Zahedi,
nm2806111,Kumara Thirimadura,
nm2868791,Jonathan Martin,
nm2876284,Christine Randall,1981
nm2946515,Kiki Harris,
nm2985692,Shu-Yi Chiu,
nm2995677,Hideo Hata,
nm3020303,Johnny Serret,1986
nm3035081,Amruta Khanvilkar,1984
nm3079083,Andrey Birin,1981
nm3097592,Joe Cornet,1961
nm3121357,Art Kearns,
nm3128033,Yasushi Takemoto,1966
nm3135063,Rebecca Naomi Jones,1981
nm3155702,Mohsen Hosseini,
nm3171390,Ernie Charles,
nm3193433,Enrique Gil,
nm3221539,Rachel Michetti,
nm3236159,Paul Walter Hauser,1986
nm3285792,Iconiq,
nm3322393,Jose Diaz,
nm3339311,Tina Mba,
nm3347140,Torrey B. Lawrence,
nm3371002,Juraj Loj,1983
nm3374672,Abir Chatterjee,1980
nm3387450,Debjani Chatterjee,
nm3401140,Danielle Renee Vivarttas,
nm3413454,S.K. Bhagavan,1933
nm3419887,Baihe Bai,1984
nm3420858,Sushama Deshpande,
nm3459865,Patrick Doughtie,1965
nm3460083,Lauren Poole,
nm3464409,Xianxin Zhou,
nm3474166,Justin Hawkins,
nm3478396,Luke Bracey,1989
nm3482257,Nitin Goel,
nm3485230,Ben Abelsma,
nm3486660,Elizabeth Ferraris,
nm3516479,Steve Fister,
nm3524360,Travis Mills,
nm3558256,Liz Kate,
nm3561833,Sarah Teed,
nm3672284,Junyka Santarin,
nm3684316,Puja Banerjee,1987
nm3699960,Adam Demos,1985
nm3703390,Hiroshi Funayama,
nm3710008,Marty Lindquist,
nm3718947,Julia Robles,
nm3725393,Jackson Yee,2000
nm3738372,Elizabeth Aeby,
nm3749108,P. Ravi Shankar,1966
nm3760640,Xiaoxing Zhai,
nm3768337,Ron Smyck,
nm3772235,Nasima Khan,
nm3817905,John Redlinger,
nm3827772,Peeter Raudsepp,
nm3838543,Jéssica Alonso,
nm3841713,Calvin Ka-Sing Cheng,
nm3854533,Fabio Tassone,
nm3912773,Brian Kirwin,
nm3921227,Maisa Silva,2002
nm3925410,Fátima Domingues,
nm3934032,Shi Lin,
nm3941379,Yavor Baharov,1985
nm3945747,Yukito Nishii,1995
nm3950261,Piotr Biedron,
nm3978201,Gabriel Gallicchio,
nm4037468,Pauletta Hickerson,
nm4086400,Hila Saada,1982
nm4107371,Yurika Kubo,1989
nm4111472,Ulli Smandek,
nm4154798,Brenton Thwaites,1989
nm4168755,Daniel K. Isaac,1988
nm4259483,Daria Simeonova,1989
nm4286925,Adela Mojzísová,1985
nm4323053,Dave Juehring,
nm4367523,Emine Meyrem,1980
nm4378865,Shahrzad Kamalzadeh,
nm4445267,John Long,
nm4448535,Mikey Lipka,
nm4530456,Jashim,1951
nm4537959,Roberta Caronia,
nm4583371,Milind Jadhav,
nm4584004,Dileesh Pothan,1981
nm4589975,Chienna Filomeno,
nm4610347,Dinh Y Nhung,
nm4618195,Robert Leaf,
nm4659433,Usha Rajak,
nm4699715,Madeleine Arthur,1997
nm4702390,Rahul Mittra,
nm4728487,Jemma Dallender,
nm4792489,Billy Freda,
nm4794057,Irina Antonenko,1991
nm4841567,Masahiro Kotaki,
nm4855517,Simu Liu,1989
nm4861346,Algee Smith,1994
nm4890513,Vishal Nayer,
nm4905454,Hanem Mohamed,1932
nm4931869,Nutan Sinha,
nm4962495,Liz Rabian,
nm4976401,Rika Takahara,1960
nm4977507,Abdellatif Atif,
nm4991603,Aleksy Komorowski,1987
nm4998103,Myrtle Sarrosa,1994
nm5037723,Michael L Garcia Jr.,
nm5048092,Kalana Gunasekara,
nm5079362,Mari Shimokawa,
nm5161567,Lana Fever,1985
nm5173885,Marlon Hargrave,
nm5178550,Lyle Shelley,
nm5208549,Omodada Pro,1976
nm5241981,Yachiyo Kasugano,
nm5270858,Pinar Unsal,
nm5280472,Marjina,
nm5325732,Chathurika Peiris,
nm5381501,Yasuko Mishima,
nm5427630,Shanon Snedden,
nm5462166,Madison Hu,2002
nm5465692,Sreenath Bhasi,1988
nm5475083,Garie Lewis,
nm5486523,Andrew Shelton,
nm5496968,Moga Mogami,
nm5542067,Agustín Pardella,1994
nm5551642,Kapila Sigera,
nm5551688,Sudesh Wasantha Pieris,
nm5565166,Valeria Perri,
nm5573352,Miya George,1992
nm5584750,Sadie Sink,2002
nm5613530,Chris Goodwin,
nm5636479,Hailey Chown,1989
nm5644630,Chops Tshoopara,
nm5661500,Pablo Alarson,
nm5675978,Elli Avrram,1990
nm5678135,Ieva Andrejevaite,1988
nm5678481,J-Cameron,
nm5697682,Prakash Dhotre,
nm5706358,Lea Shnirer,
nm5842180,Alejandra Rivera Flaviá,
nm5892734,Deshon Andrae,
nm5913350,Gabrielle Bodroghy,
nm5996757,Tolga Canbeyli,1991
nm6041418,VJ Mendoza,
nm6154954,Francisco de Borja De la Bella,
nm6160653,Kumara Ranapura,
nm6251638,Marc De Roy,
nm6280095,Will Nemi,
nm6305497,Dieter-Michael Grohmann,
nm6500854,Juraj Adamík,1954
nm6501150,Pat Santana,
nm6517501,Atsuhiro Inukai,1994
nm6560119,Supurna Malakar,
nm6595127,Taylor Bagley,1987
nm6601748,Tucson Vernon Walker,
nm6643369,Pauline Dyer,
nm6688102,Derek Chang,1992
nm6700506,Aman Graseka,
nm6761378,Mutebi Farooq,
nm6800672,Lauren Renahan,
nm6822352,Clovis,
nm6856651,Remigijus Endriukaitis,
nm6870283,Melisa Akman,1990
nm6918418,Tinuke Adetunji,
nm6947740,Kara Anderson,
nm7029055,Fang Yin,1986
nm7086305,Clara Lockyer,
nm7125624,Aarun Nagar,
nm7222121,Meghranjani,
nm7237266,Mila Milosevic,
nm7333113,Gang Cai,
nm7339828,Brendan Takash,
nm7355324,Kay Lofton,
nm7365111,Uma Gokhale,
nm7418904,Sharon Henry,
nm7426302,Tigran Mekhitarian,
nm7430936,Babken Chobanyan,
nm7504002,Gonzalo Martin,
nm7522291,Anthony Bryant,
nm7539023,Carolina Herrera,
nm7541334,Judith Audu,
nm7553114,Raphael Mudola,
nm7591676,Chulakshi Ranathunga,
nm7599451,Ayano Murasaki,1969
nm7677312,Dennis Scarfeo,
nm7693842,Jack Fisher,
nm7755046,Tung Leo,
nm7767161,Anoop Aryan,
nm7796795,Ernest Arfan,
nm7866296,Anup Kumar,
nm7930619,Johan B.B. Nielsen,
nm7934016,Jayraj Nair,
nm7995979,Sul Jung-hwan,1985
nm8028537,Aubakir Ismailov,1913
nm8038662,Sigit Pradityo,
nm8068078,Josef Trojan,2001
nm8092420,Andrew Wang,
nm8133234,Susanne Meyer,1977
nm8157833,Olena Khokhlatkina,1968
nm8205904,Alex Hope,
nm8234064,Dakota Miller,
nm8263622,Nico Nicolas,
nm8294221,Lori Dolan Meyer,
nm8313648,John Fiorentino,
nm8331248,Pierre Abena,
