actorId,pagerank,degree,weightedDegree,community
nm8804533,0.841137,9,9,108
nm0008124,0.841137,9,9,108
nm1715356,1.525755,18,18,231
nm0592759,1.234556,17,18,419
nm0193459,0.714458,9,9,110
nm0559487,1.868286,25,27,419
nm0798473,1.061739,18,18,113
nm1550987,0.621742,9,9,112
nm10484958,0.598027,9,9,113
nm4519769,2.668761,42,45,113
nm5469652,0.621742,9,9,112
nm9547522,0.637778,9,9,113
nm1550104,1.583435,25,27,1316
nm0750411,0.691432,9,9,113
nm8490776,1.155225,18,18,113
nm9413159,0.600767,9,9,113
nm1256745,1.551636,27,27,113
nm9425204,1.081946,18,18,113
nm0474919,1.215101,18,18,113
nm0673311,0.691432,9,9,113
nm1415008,0.600767,9,9,113
nm0284717,2.180595,33,36,113
nm9433015,1.095087,18,18,113
nm11418610,0.603917,9,9,113
nm7030182,1.496654,27,27,113
nm8358493,1.538456,26,27,1378
nm6938503,0.811728,9,9,11
nm0265823,0.904773,9,9,97
nm0890337,0.904773,9,9,115
nm1670234,0.94774,9,9,119
nm1395655,0.94774,9,9,119
nm12225158,0.882163,9,9,121
nm13445593,3.088029,34,36,1324
nm0444324,0.882163,9,9,121
nm1243922,0.882163,9,9,121
nm13062881,1.610481,17,18,1324
nm4980481,0.882163,9,9,121
nm12158334,0.917756,9,9,65
nm0580158,0.900498,9,9,56
nm1276538,1.467471,18,18,11
nm3854930,1.551981,18,18,56
nm2511502,1.593544,18,18,56
nm0012915,0.827489,9,9,56
nm5621805,0.861547,9,9,56
nm2422019,0.861547,9,9,56
nm7639984,0.948455,9,9,124
nm0648329,0.948455,9,9,124
nm1742916,0.948455,9,9,124
nm0754273,0.920637,9,9,124
nm16155023,0.920637,9,9,124
nm3988985,0.920637,9,9,124
nm0530961,0.948455,9,9,124
nm4619085,0.872314,9,9,126
nm7809939,0.900315,9,9,126
nm0451086,0.900315,9,9,126
nm2726845,0.900315,9,9,126
nm6150259,0.900315,9,9,126
nm7825235,1.64956,18,18,126
nm0768031,2.708204,45,45,110
nm3619308,0.893761,9,9,23
nm0999515,2.622315,38,45,739
nm10322942,0.659519,9,9,110
nm2812453,1.181629,18,18,110
nm5233402,1.624738,26,27,548
nm9201681,0.659471,9,9,110
nm10323149,0.651688,9,9,548
nm10410147,0.659519,9,9,110
nm1800746,2.716295,42,45,739
nm2815817,1.206698,18,18,110
nm9198045,0.651688,9,9,548
nm1069583,1.727613,25,27,176
nm1800303,1.696566,26,27,548
nm5095124,1.185756,16,18,548
nm10381044,0.659166,9,9,110
nm2951762,1.185756,16,18,548
nm1662481,0.656143,9,9,110
nm0361669,0.656143,9,9,110
nm10513514,0.63031,9,9,110
nm2929886,0.881993,9,9,240
nm10514573,0.881993,9,9,240
nm1578920,0.901321,9,9,131
nm1345839,2.309606,33,36,132
nm1671039,1.223944,18,18,110
nm0199035,0.660445,9,9,110
nm0395947,1.20184,18,18,110
nm0015164,1.219458,17,18,132
nm0768029,1.251003,18,18,110
nm0592882,2.79769,44,45,620
nm0837352,0.684695,9,9,110
nm0945601,1.562319,18,27,690
nm2550521,0.679564,9,9,110
nm0906723,1.317722,18,18,110
nm0837430,0.6988,9,9,110
nm1363764,0.755978,9,9,110
nm0395942,0.6988,9,9,110
nm1935905,1.725963,18,18,4
nm0622406,1.313848,18,18,110
nm0631659,1.273717,18,18,110
nm0257932,0.707636,9,9,110
nm0793674,3.666199,53,54,482
nm2946751,4.018909,54,72,739
nm0993544,1.944869,23,36,738
nm9654716,0.598539,9,9,548
nm1221055,1.0,9,9,134
nm2395510,1.0,9,9,134
nm3376846,1.0,9,9,134
nm0015440,1.0,9,9,134
nm7331054,0.824959,9,9,136
nm7816790,0.824959,9,9,136
nm9675960,0.824959,9,9,136
nm0135929,1.0,9,9,83
nm0896071,1.0,9,9,139
nm3227380,1.0,9,9,140
nm10531236,1.0,9,9,140
nm2992664,1.0,9,9,140
nm10531235,1.0,9,9,140
nm1570165,1.34161,13,18,142
nm7559355,0.743345,9,9,142
nm4434111,0.743345,9,9,142
nm0037721,1.0,9,9,143
nm2948589,1.0,9,9,143
nm0471422,1.332601,18,18,11
nm0558593,1.368533,18,18,11
nm7561226,1.973115,26,27,524
nm4383118,1.273485,17,18,524
nm8187490,0.730569,9,9,11
nm4270963,0.781074,9,9,19
nm1066795,1.899151,25,27,524
nm10269274,0.735583,9,9,11
nm10403329,1.0,9,9,147
nm10221978,1.0,9,9,147
nm0019489,1.0,9,9,147
nm0577741,0.956853,9,9,148
nm7912616,0.956853,9,9,148
nm0544010,0.956853,9,9,148
nm3483613,1.0,9,9,149
nm5062337,1.0,9,9,149
nm6876928,1.0,9,9,149
nm2466273,0.875269,9,9,59
nm0307253,0.937615,9,9,59
nm0020739,1.675828,18,18,59
nm3907732,0.956853,9,9,151
nm7620319,0.956853,9,9,151
nm0424453,0.956853,9,9,151
nm1727825,0.921881,9,9,8
nm1301218,0.920473,9,9,33
nm0851767,0.920473,9,9,33
nm10293922,0.920473,9,9,33
nm1032596,1.538079,18,18,11
nm10483205,0.922359,9,9,110
nm5130906,1.77665,18,18,155
nm7846445,0.956853,9,9,155
nm5404817,0.956853,9,9,155
nm10472429,0.616629,9,9,156
nm0412632,0.616629,9,9,156
nm0023914,0.616629,9,9,156
nm5162621,1.118135,18,18,113
nm5551642,2.704274,45,45,113
nm8972570,0.626965,9,9,113
nm9455290,0.626965,9,9,113
nm10319163,1.690355,17,18,951
nm10319170,0.913706,9,9,159
nm10319173,0.913706,9,9,159
nm6487292,0.913706,9,9,159
nm11958694,0.843153,9,9,161
nm11958714,0.843153,9,9,161
nm10890555,0.783281,9,9,11
nm10890568,0.783281,9,9,11
nm11480117,0.901757,9,9,11
nm6845052,0.901757,9,9,11
nm0030280,1.47895,18,18,11
nm10312087,0.901757,9,9,11
nm5603981,0.901757,9,9,11
nm10113120,0.901757,9,9,11
nm10662225,0.901757,9,9,11
nm11220737,0.901757,9,9,11
nm11221104,0.901757,9,9,11
nm11221117,0.901757,9,9,11
nm8468017,0.956853,9,9,54
nm0087018,1.0,9,9,166
nm0282653,1.0,9,9,166
nm0812453,1.0,9,9,166
nm0029671,1.0,9,9,166
nm0239294,0.956853,9,9,167
nm2268884,0.956853,9,9,167
nm0480658,1.0,9,9,168
nm1204308,1.0,9,9,71
nm0157716,1.0,9,9,71
nm0642675,1.0,9,9,71
nm0066827,1.575093,16,18,234
nm0588404,1.0,9,9,170
nm7809825,0.956853,9,9,148
nm0955544,0.956853,9,9,148
nm7855374,3.72042,45,45,11
nm0917962,1.0,9,9,171
nm0267772,1.0,9,9,171
nm0288214,1.0,9,9,171
nm5618931,1.0,9,9,171
nm10464233,1.0,9,9,172
nm0842191,1.0,9,9,172
nm2805495,1.0,9,9,173
nm10323184,0.80507,9,9,176
nm10323183,0.80507,9,9,176
nm0044463,0.80507,9,9,176
nm10348168,0.664028,9,9,110
nm1186215,1.249111,18,18,110
nm10348165,0.664028,9,9,110
nm0490375,1.0,9,9,25
nm2732939,0.900226,9,9,21
nm1318578,0.900226,9,9,21
nm1674835,0.914155,9,9,33
nm2078557,0.909699,9,9,33
nm0781700,0.909699,9,9,33
nm0037459,0.914155,9,9,33
nm0032737,1.686798,18,18,33
nm1663898,0.604448,9,9,177
nm5845367,1.027957,17,18,177
nm0297869,2.320326,35,36,449
nm0370573,1.311235,17,18,418
nm0882255,1.168531,18,18,110
nm0359226,2.980851,43,45,488
nm0837534,0.660641,9,9,110
nm0848796,0.660641,9,9,110
nm0875366,1.816847,27,27,110
nm10385508,0.600463,9,9,129
nm0593043,1.965446,31,36,177
nm0624346,1.043043,18,18,110
nm0297734,0.604448,9,9,177
nm0321348,1.0,9,9,164
nm0145784,1.0,9,9,164
nm10306723,0.854405,9,27,321
nm7028312,1.342108,29,36,178
nm2362746,1.783088,34,54,1354
nm2898907,0.421485,9,9,178
nm0465531,0.657154,9,9,110
nm0645011,1.876611,27,27,110
nm0465235,0.657154,9,9,110
nm0997681,0.770786,9,9,110
nm0008354,1.245948,17,18,110
nm6076273,0.770786,9,9,110
nm0442814,0.720558,9,9,110
nm0596097,0.720558,9,9,110
nm0157374,2.392913,26,81,321
nm10334424,0.486662,9,9,178
nm1187057,0.845498,9,9,110
nm1483904,1.664624,18,18,180
nm0125553,0.891356,9,9,180
nm3270435,1.670069,18,18,180
nm11826304,1.0,9,9,181
nm7426140,1.0,9,9,181
nm1287084,0.885159,9,9,56
nm4463202,1.632976,18,18,56
