actorId,name,movieCount,genreRichness,shannonDiversity,maxPossibleH,topGenres,topGenreShares
nm8139485,Joseph Camilleri,2,5,2.2516,2.3219,Thriller;Horror;Action,0.333;0.167;0.167
nm4609670,Lou Ferrigno Jr.,2,5,2.2516,2.3219,Horror;Crime;Mystery,0.333;0.167;0.167
nm4947538,Minami Hamabe,2,5,2.2516,2.3219,Drama;Comedy;Mystery,0.333;0.167;0.167
nm8906536,Ninja,2,5,2.2516,2.3219,Drama;Action;Biography,0.333;0.167;0.167
nm2012595,Trystan Pütter,2,5,2.2516,2.3219,Crime;Drama;Mystery,0.333;0.167;0.167
nm0440590,Ilyas Kashmiri,2,5,2.2516,2.3219,Drama;History;Action,0.333;0.167;0.167
nm0451561,Sachin Khedekar,2,5,2.2516,2.3219,Drama;Comedy;Action,0.333;0.167;0.167
nm0412850,Eddie Izzard,2,5,2.2516,2.3219,Music;Drama;Romance,0.333;0.167;0.167
nm7887725,Fionn Whitehead,2,5,2.2516,2.3219,Mystery;Adventure;Sci-Fi,0.333;0.167;0.167
nm1676221,Andy Samberg,2,5,2.2516,2.3219,Comedy;Adventure;Fantasy,0.333;0.167;0.167
nm0171499,Grégoire Colin,2,5,2.2516,2.3219,Drama;Romance;Thriller,0.333;0.167;0.167
nm1290816,Yayo Aguila,2,5,2.2516,2.3219,Drama;Musical;Romance,0.333;0.167;0.167
nm4972453,Olivia Cooke,2,5,2.2516,2.3219,Drama;Comedy;Romance,0.333;0.167;0.167
nm0005216,Janet McTeer,2,5,2.2516,2.3219,Thriller;Comedy;Adventure,0.333;0.167;0.167
nm1256532,Jon Bernthal,2,5,2.2516,2.3219,Drama;Biography;Crime,0.333;0.167;0.167
nm5007768,Da'Vine Joy Randolph,2,5,2.2516,2.3219,Drama;Comedy;Music,0.333;0.167;0.167
nm0675919,Milan Peschel,2,5,2.2516,2.3219,Adventure;Comedy;Family,0.333;0.167;0.167
nm0708698,Lázaro Ramos,2,5,2.2516,2.3219,Crime;Drama;Romance,0.333;0.167;0.167
nm0645207,Ryūtarō Ōtomo,4,5,2.2405,2.3219,Drama;Action;Fantasy,0.278;0.278;0.167
nm0474609,Atul Kulkarni,3,5,2.2133,2.3219,Horror;Thriller;Drama,0.278;0.278;0.222
nm5667822,Inori Minase,3,5,2.1972,2.3219,Animation;Adventure;Action,0.333;0.222;0.222
nm4843024,Laura Stetman,3,5,2.1972,2.3219,Sci-Fi;Mystery;Thriller,0.333;0.222;0.222
nm7121595,Jun'ya Enoki,3,5,2.1972,2.3219,Action;Animation;Adventure,0.333;0.222;0.222
nm0312656,Tesshô Genda,3,5,2.1972,2.3219,Animation;Action;Adventure,0.333;0.222;0.222
nm0751638,James Russo,3,5,2.1769,2.3219,Action;Crime;Drama,0.333;0.278;0.167
nm1066795,Vijayaraghavan,3,5,2.1769,2.3219,Thriller;Comedy;Family,0.333;0.278;0.167
nm4043111,Vijay Sethupathi,3,5,2.1769,2.3219,Action;Drama;Romance,0.333;0.278;0.167
nm4519769,Buddhika Jayaratne,5,5,2.1739,2.3219,Drama;Romance;Thriller,0.333;0.233;0.200
nm2240044,Brijendra Kala,4,5,2.1735,2.3219,Drama;Crime;Comedy,0.333;0.250;0.208
nm7855374,Darbha Appaji Ambarisha,5,6,2.1628,2.585,Comedy;Drama;Thriller,0.467;0.200;0.100
nm0457575,Yukiya Kitamura,3,5,2.1473,2.3219,Drama;Comedy;Family,0.389;0.222;0.167
nm5724719,Achyuth Kumar,3,5,2.1473,2.3219,Drama;Comedy;Action,0.389;0.222;0.167
nm1758612,Farhad Aslani,3,5,2.1473,2.3219,Drama;Crime;Comedy,0.389;0.222;0.167
nm5825055,Rajitha Hiran Chamikara,6,6,2.119,2.585,Comedy;Drama;Thriller,0.389;0.333;0.083
nm2791178,Giriraj Kaushalya,5,6,2.1166,2.585,Drama;Family;War,0.467;0.233;0.100
nm0620636,Govind Namdeo,3,5,2.1133,2.3219,Comedy;Romance;Action,0.333;0.333;0.111
nm3592766,Anjali,3,5,2.1133,2.3219,Action;Drama;Horror,0.333;0.333;0.111
nm2665929,Taiga Nakano,3,5,2.0999,2.3219,Drama;Comedy;Romance,0.389;0.278;0.111
nm5018360,Swasika Vijay,3,5,2.0999,2.3219,Drama;Romance;Thriller,0.389;0.278;0.111
nm2690647,Pankaj Tripathi,3,5,2.0999,2.3219,Drama;Biography;Crime,0.389;0.278;0.111
nm1268681,Wilson Gunaratne,5,6,2.0998,2.585,Comedy;Family;Drama,0.500;0.167;0.133
nm1345839,Shinobu Chihara,4,5,2.086,2.3219,Action;Adventure;Fantasy,0.444;0.167;0.167
nm3679148,Greg Lutz,3,5,2.086,2.3219,Drama;Family;Sci-Fi,0.444;0.167;0.167
nm9488941,Irsyadillah,3,5,2.086,2.3219,Horror;Comedy;Romance,0.444;0.167;0.167
nm6630516,Rodney Warnakula,7,6,2.0773,2.585,Comedy;Drama;Romance,0.476;0.214;0.143
nm1298052,Raghu Babu,4,5,2.0315,2.3219,Drama;Comedy;Horror,0.375;0.333;0.125
nm1388202,Siddique,5,5,2.001,2.3219,Drama;Romance;Comedy,0.467;0.200;0.167
nm2151247,Sriyantha Mendis,4,5,2.0,2.3219,Drama;Romance;History,0.500;0.125;0.125
nm0020739,Krista Allen,2,4,2.0,2.0,Horror;Action;Thriller,0.250;0.250;0.250
nm0865302,Tony Todd,2,4,2.0,2.0,Comedy;Action;Horror,0.250;0.250;0.250
nm2533953,G. Marimuthu,2,4,2.0,2.0,Comedy;Horror;Mystery,0.250;0.250;0.250
nm0782005,Ben Segers,2,4,2.0,2.0,Crime;Animation;Drama,0.250;0.250;0.250
nm0706670,Slamet Rahardjo,2,4,2.0,2.0,Comedy;Action;Drama,0.250;0.250;0.250
nm0038960,Izumi Ashikawa,2,4,2.0,2.0,Drama;Romance;Action,0.250;0.250;0.250
nm5794898,Neenasam Ashwath,2,4,2.0,2.0,Comedy;Action;Drama,0.250;0.250;0.250
nm8328803,La Thanh,2,4,2.0,2.0,Horror;Comedy;Romance,0.250;0.250;0.250
nm5652097,Daniel Etim Effiong,2,4,2.0,2.0,Comedy;Crime;Drama,0.250;0.250;0.250
nm0945999,Yang Hui-Shan,2,4,2.0,2.0,Adventure;Fantasy;Drama,0.250;0.250;0.250
nm1432578,Shammi Thilakan,2,4,2.0,2.0,Drama;Romance;Family,0.250;0.250;0.250
nm0325943,Diane Ayala Goldner,2,4,2.0,2.0,Drama;Western;Romance,0.250;0.250;0.250
nm7563501,Buddy Clements,2,4,2.0,2.0,Horror;Drama;Western,0.250;0.250;0.250
nm5756906,Lelia Symington,2,4,2.0,2.0,Drama;Action;Horror,0.250;0.250;0.250
nm7770551,Karla Dansereau,2,4,2.0,2.0,Comedy;Drama;Family,0.250;0.250;0.250
nm11411075,Hasini Anvi,2,4,2.0,2.0,Action;Drama;Romance,0.250;0.250;0.250
nm1055050,Orhan Aydin,2,4,2.0,2.0,Drama;Family;Action,0.250;0.250;0.250
nm2111833,Megan Henry,2,4,2.0,2.0,Drama;Thriller;Action,0.250;0.250;0.250
nm7457611,Padmaraj Ratheesh,2,4,2.0,2.0,Action;Drama;Family,0.250;0.250;0.250
nm3348178,Geeta Agrawal Sharma,2,4,2.0,2.0,Drama;Romance;Comedy,0.250;0.250;0.250
nm2806111,Kumara Thirimadura,8,6,1.9942,2.585,Drama;Comedy;Horror,0.500;0.229;0.125
nm0412917,Jaaved Jaaferi,3,5,1.9875,2.3219,Comedy;Romance;Action,0.500;0.167;0.111
nm1459609,Nandhu,5,5,1.9465,2.3219,Drama;Comedy;Family,0.467;0.267;0.100
nm1125711,Pavel Derevyanko,3,4,1.9251,2.0,Comedy;Family;Fantasy,0.389;0.222;0.222
nm0632761,Masahiko Nishimura,3,4,1.9183,2.0,Drama;Music;History,0.333;0.333;0.167
nm2851426,Purabi Sharma,3,4,1.9183,2.0,Musical;Romance;Drama,0.333;0.333;0.167
nm7561226,Binu Adimali,3,4,1.9183,2.0,Comedy;Drama;Romance,0.333;0.333;0.167
nm2326379,Jonathan Stoddard,3,4,1.9183,2.0,Sci-Fi;Thriller;Drama,0.333;0.333;0.167
nm0623325,Nazar,2,4,1.9183,2.0,War;History;Biography,0.333;0.333;0.167
nm10337610,Emi Manivala,2,4,1.9183,2.0,War;History;Biography,0.333;0.333;0.167
nm1472177,Cham Cham,2,4,1.9183,2.0,History;War;Drama,0.333;0.333;0.167
nm10584760,Mirnalini Ravi,2,4,1.9183,2.0,Crime;Action;Thriller,0.333;0.333;0.167
