actorId,name,x,y,community,degree
nm1650019,Reiko Arai,-0.0009,-0.0281,482,26
nm7561226,Binu Adimali,0.0071,0.0005,524,26
nm1550104,Sarath Kothalawala,-0.0009,-0.0054,1316,25
nm10363134,Frankie Okamura,-0.013,-0.0065,1003,25
nm0008704,Joe Abeywickrama,0.0004,-0.0074,113,25
nm1069583,Shinji Kubo,0.007,-0.0048,176,25
nm1066795,Vijayaraghavan,0.0035,-0.0057,524,25
nm0590775,Aiko Mimasu,0.0006,0.0004,505,25
nm1655500,Eiran Yoshikawa,0.0074,-0.0058,505,25
nm0014955,Yumeko Aizome,0.0094,0.0082,129,25
nm3844346,Wamiqa Gabbi,-0.0013,0.0011,1389,25
nm10532730,Dave Graham,0.036,0.0014,1213,25
nm3591507,Roshan Ranawana,-0.0013,-0.0047,1380,25
nm8674109,Masamitsu Kani,-0.013,-0.0066,1003,25
nm1745545,Yoshimi Aoki,0.0036,-0.0039,1347,25
nm3792384,Karamjit Anmol,-0.0013,0.0011,1389,25
nm4005399,Bimal Jayakodi,0.0004,-0.0074,1363,25
nm8268551,Mark Speno,0.0039,0.0163,1374,25
nm9546798,Vishaka Siriwardhana,-0.0075,0.0077,1131,25
nm2148361,Sakuko Yanagi,0.0087,-0.0084,1338,25
nm6630514,Tennyson Cooray,-0.0082,0.01,474,25
nm0365303,Sando Harris,-0.0077,0.0081,474,25
nm3173883,Shingo Kiyokawa,-0.0025,-0.0006,525,25
nm1434372,Johny Antony,0.0009,-0.0028,524,25
nm1001836,Mayumi Sanjô,0.0061,-0.0026,739,25
nm1184348,Dariush Asadzade,0.0386,-0.0066,699,25
nm0559487,Hiroki Matsukata,0.0075,0.0479,419,25
nm0359222,Achako Hanabishi,-0.0013,0.0006,216,25
nm0357264,Mitsuo Hamada,-0.0007,-0.0458,482,25
nm0257951,Ken'ichi Enomoto,-0.0026,-0.0012,216,25
nm0157139,Toshio Chiba,-0.0096,-0.0054,177,25
nm0359271,Tatsuo Hanabu,0.002,0.0017,133,25
nm1432432,Ilham Shaheen,-0.0347,0.0115,664,25
nm2382533,Kiyoshi Kasuga,-0.0016,-0.0026,217,25
nm0482300,Sreelakshmi,-0.0047,-0.01,524,25
nm1442720,Kashichi Shimada,0.0089,-0.0085,1338,25
nm0410965,Tatsuya Ishiguro,-0.0015,0.0031,177,25
nm0837548,Shôsaku Sugiyama,-0.005,0.0021,177,24
nm5077088,Nobu Kawaguchi,-0.0033,-0.0024,525,24
nm1671208,Farida Saif Al-Nasr,-0.0347,0.0115,664,24
nm5679766,Gurpreet Bhangu,-0.0013,0.0011,1389,24
nm2611061,Reizaburô Umewaka,-0.0012,-0.0025,217,24
nm10459748,Lal Weerasinghe,-0.008,0.0093,1131,24
nm6229747,Tharuka Wanniarachchi,-0.0003,-0.0063,1380,24
nm0555474,Osamu Maruyama,0.0023,0.0023,129,24
nm10295486,Toshiichiro Sakata,-0.0006,-0.0048,217,24
nm3651492,Sophie Alibert,0.0042,-0.0047,838,24
nm6826659,Sezen Djouma,0.0042,-0.0047,838,24
nm6508720,Layla Rose Boyce,0.0042,-0.0047,838,24
nm8398797,Ippei Ichimonji,0.0046,-0.0009,739,24
