actorId,triangles,clusteringCoefficient,kshell,closeness,betweenness
nm0004937,36,1.0,8,0.080873,
nm0004975,36,1.0,8,0.087866,
nm0004979,72,0.470588,9,0.08129,0.0
nm0004991,36,1.0,9,0.0,
nm0005000,36,1.0,9,0.0,
nm0005013,36,1.0,9,0.0,
nm0005031,36,1.0,8,0.0,
nm0005033,72,0.470588,9,0.0,0.0
nm0005037,36,1.0,9,0.0,
nm0005039,36,1.0,8,0.0,
nm0005048,72,0.470588,9,0.0,6e-06
nm0005068,36,1.0,7,0.0,
nm0005107,36,1.0,6,0.062812,
nm0005125,36,1.0,9,0.0,
nm0005148,36,1.0,9,0.0,
nm0005171,72,0.470588,9,0.058333,0.0
nm0005216,72,0.470588,9,0.0,2.6e-05
nm0005224,36,1.0,8,0.0,
nm0005234,36,1.0,8,0.0,
nm0005236,36,1.0,9,0.0,
nm0005241,36,1.0,9,0.104651,
nm0005244,36,1.0,9,0.0,
nm0005246,93,0.442857,5,0.0,7.2e-05
nm0005253,36,1.0,8,0.0,
nm0005283,36,1.0,8,0.066316,
nm0005314,36,1.0,8,0.106239,
nm0005378,36,1.0,9,0.058605,
nm0005394,36,1.0,8,0.0,
nm0005403,36,1.0,9,0.0,
nm0005438,36,1.0,9,0.087744,
nm0005450,72,0.470588,3,0.062376,2.6e-05
nm0005510,36,1.0,8,0.0,
nm0005512,36,1.0,8,0.0,
nm0005522,36,1.0,9,0.0,
nm0005532,36,1.0,8,0.055166,
nm0005535,36,1.0,8,0.0,
nm0005541,36,1.0,7,0.0,
nm0006009,36,1.0,9,0.0,
nm0006663,36,1.0,9,0.0,
nm0006669,72,0.470588,7,0.0,0.0
nm0006763,36,1.0,8,0.122807,
nm0006764,36,1.0,9,0.11014,
nm0006770,36,1.0,9,0.110526,
nm0006801,36,1.0,9,0.065693,
nm0006820,36,1.0,9,0.0,
nm0007023,36,1.0,9,0.0,
nm0007102,36,1.0,9,0.124752,
nm0007106,36,1.0,9,0.103279,
nm0007123,36,1.0,9,0.117978,
nm0007124,72,0.470588,2,0.1121,0.000387
nm0007342,36,1.0,8,0.0,
nm0007545,36,1.0,9,0.0,
nm0007711,36,1.0,9,0.0,
nm0007759,36,1.0,9,0.0,
nm0008014,36,1.0,9,0.0,
nm0008090,72,0.529412,9,0.0,
nm0008124,36,1.0,9,0.0,
nm0008203,36,1.0,9,0.0,
nm0008354,72,0.529412,9,0.0,
nm0008416,36,1.0,9,0.0,
nm0008690,36,1.0,9,0.0,
nm0008704,119,0.396667,10,0.0,2e-05
nm0008713,73,0.477124,4,0.129363,0.000144
nm0008739,36,1.0,9,0.0,
nm0009334,36,1.0,9,0.0,
nm0009352,36,1.0,9,0.0,
nm0009496,36,1.0,9,0.0,
nm0009629,36,1.0,8,0.0,
nm0010157,36,1.0,9,0.0,
nm0010207,36,1.0,9,0.0,
nm0010355,36,1.0,9,0.0,
nm0010611,36,1.0,9,0.0,
nm0010736,36,1.0,8,0.0,
nm0010837,36,1.0,8,0.0,
nm0011589,36,1.0,9,0.0,
nm0011775,36,1.0,9,0.0,
nm0011882,36,1.0,7,0.0,
nm0012078,72,0.470588,9,0.0,0.0
nm0012178,36,1.0,8,0.0,
nm0012748,36,1.0,9,0.0,
nm0012881,72,0.470588,5,0.132632,0.00667
nm0012915,36,1.0,9,0.0,
nm0012916,36,1.0,9,0.0,
nm0013542,36,1.0,9,0.0,
nm0013793,36,1.0,9,0.0,
nm0013833,36,1.0,9,0.0,
nm0014102,72,0.470588,9,0.0,0.0
nm0014122,36,1.0,9,0.0,
nm0014141,72,0.470588,9,0.065489,0.0
nm0014247,36,1.0,9,0.0,
nm0014417,92,0.676471,10,0.0,
nm0014620,36,1.0,9,0.0,
nm0014629,36,1.0,9,0.0,
nm0014954,36,1.0,9,0.0,
nm0014955,110,0.366667,9,0.0,0.00018
nm0015001,36,1.0,9,0.114545,
nm0015003,36,1.0,9,0.0,
nm0015033,36,1.0,9,0.0,
nm0015110,72,0.470588,7,0.0,0.000235
nm0015145,36,1.0,9,0.0,
nm0015164,72,0.529412,9,0.0,
nm0015176,198,0.219269,9,0.0,0.000833
nm0015196,36,1.0,8,0.0,
nm0015417,76,0.496732,9,0.0,0.001392
nm0015440,36,1.0,9,0.0,
nm0015651,36,1.0,9,0.0,
nm0015663,36,1.0,9,0.0,
nm0015764,36,1.0,9,0.0,
nm0015846,36,1.0,9,0.0,
nm0016321,36,1.0,9,0.0,
nm0016689,36,1.0,8,0.0,
nm0016852,36,1.0,9,0.0,
nm0016941,36,1.0,9,0.0,
nm0017332,36,1.0,9,0.0,
nm0017343,36,1.0,7,0.0,
nm0017868,62,0.794872,9,0.110915,
nm0018080,36,1.0,9,0.0,
nm0018203,74,0.544118,5,0.12233,
nm0019027,36,1.0,9,0.0,
nm0019271,36,1.0,9,0.0,
nm0019382,36,1.0,8,0.110526,
nm0019455,36,1.0,9,0.0,
nm0019489,36,1.0,9,0.0,
nm0019741,36,1.0,9,0.0,
nm0019815,36,1.0,8,0.0,
nm0019994,36,1.0,9,0.0,
nm0020281,36,1.0,7,0.0,
nm0020739,72,0.470588,9,0.0,0.0
nm0021373,36,1.0,9,0.0,
nm0021607,36,1.0,9,0.0,
nm0021734,36,1.0,9,0.0,
